id,country,consumption_pork,co2_pork,consumption_poultry,co2_poultry,consumption_beef,co2_beef,consumption_lambgoat,co2_lambgoat,consumption_fish,co2_fish,consumption_eggs,co2_eggs,consumption_milkcheese,co2_milkcheese,consumption_wheat,co2_wheat,consumption_rice,co2_rice,consumption_soybeans,co2_soybeans,consumption_nuts,co2_nuts,GDP.PPP.2013,co2_meat,co2_nonmeat
11,Belarus,40.37,142.89,31.29,33.61,17.11,527.98,0.11,3.85,15.75,25.15,15.86,14.57,133.73,190.49,60.48,11.53,3.17,4.06,0.3,0.14,3.36,5.95,7978.87261,733.48,226.74
12,Belgium,38.65,136.8,12.2,13.11,15.63,482.31,1.32,46.23,18.97,30.29,12.59,11.57,236.19,336.43,111.91,21.34,8.61,11.02,0.07,0.03,7.32,12.96,46744.6625,708.74,393.35
13,Belize,16.8,59.46,28.31,30.41,4.86,149.97,0.14,4.9,7.57,12.09,4.85,4.46,80.3,114.38,54.06,10.31,28.42,36.37,1.88,0.85,5.58,9.88,4568.54205,256.83,176.25
14,Bermuda,28.24,99.96,32.62,35.04,33.15,1022.94,2.71,94.9,33.22,53.04,14.92,13.71,95.56,136.12,54.88,10.47,5.38,6.88,0.22,0.1,5.72,10.12,85748.0654,1305.88,177.4
15,Bolivia,8.89,31.47,34.31,36.86,19.78,610.37,1.72,60.23,2.18,3.48,5.18,4.76,46.04,65.58,49.99,9.53,26.99,34.54,0.01,0,9.16,16.21,2908.20009,742.41,130.62
16,Bosnia and Herzegovina,9.38,33.2,13.17,14.15,9.12,281.42,0.47,16.46,4.06,6.48,4.49,4.12,174.03,247.89,93.56,17.84,1.88,2.41,1.48,0.67,2,3.54,5131.39451,351.71,276.47
17,Botswana,0.74,2.62,5.33,5.73,7.85,242.23,3.76,131.67,3.98,6.35,1.95,1.79,117.74,167.71,38.2,7.28,7.06,9.03,1.16,0.52,1.08,1.91,7224.96517,388.6,188.24
18,Brazil,12.6,44.6,45,48.34,39.25,1211.17,0.62,21.71,10.01,15.98,8.98,8.25,149.28,212.63,53,10.11,32.13,41.12,3.62,1.63,0.67,1.19,12300.3226,1341.8,274.93
19,Bulgaria,26.26,92.95,20.68,22.21,3.84,118.49,1.63,57.08,6.24,9.96,8.36,7.68,155.71,221.79,121.17,23.11,2.24,2.87,0.04,0.02,2.26,4,7646.83987,300.69,259.47
20,Cambodia,6.52,23.08,1.84,1.98,4.85,149.66,0,0,39.59,63.21,1.37,1.26,3.47,4.94,2.74,0.52,159.1,203.6,4.33,1.95,1.25,2.21,1013.4204,237.93,214.48
21,Cameroon,1.47,5.2,3.29,3.53,4.17,128.68,1.4,49.03,14.71,23.49,0.4,0.37,15.27,21.75,22.6,4.31,23.85,30.52,0.64,0.29,9.29,16.44,1465.22233,209.93,73.68
22,Canada,22.81,80.74,36.68,39.4,30.25,933.45,0.97,33.97,14.56,23.25,12.95,11.9,187.77,267.46,84.96,16.2,12.65,16.19,0.94,0.42,8.01,14.18,52504.6557,1110.81,326.35
23,Chile,24.68,87.35,36.52,39.23,23.86,736.27,0.42,14.71,7.65,12.21,9.97,9.16,116.11,165.39,104.74,19.97,8.85,11.33,0.04,0.02,2.22,3.93,15842.9408,889.77,209.8
24,China,38.43,136.02,13.2,14.18,5.12,157.99,3.13,109.61,21.01,33.55,18.76,17.23,32.66,46.52,63.36,12.08,78.18,100.05,3.66,1.65,6.39,11.31,7050.64592,451.35,188.84
25,Colombia,6.51,23.04,27.57,29.62,16.36,504.84,0.21,7.35,6.01,9.6,10.78,9.9,108.47,154.5,29.79,5.68,28.02,35.86,0.89,0.4,0.42,0.74,8212.66783,574.45,207.08
26,Congo,2.39,8.46,13.02,13.99,4.35,134.23,0.4,14.01,26.22,41.86,0.6,0.55,10.69,15.23,40.07,7.64,16.51,21.13,0,0,3.08,5.45,457.963728,212.55,50
